,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
AT1,0.0,0.1428362244075914,0.0006686186323713601,0.06337491050346131,0.0,0.0,0.0,0.0,0.0,0.07416763796616002,0.0,0.7189526084904159
AT2,0.0,0.09041128886131382,0.0,0.03432193045095919,0.0,0.0,0.007511959696256748,0.00016299864270999495,0.0,0.6873259559520825,0.0,0.1802658663966778
B_memory,0.02499995006876988,0.24796026201989957,0.023411120104777545,0.0608741730239653,0.03556769084108761,0.010617654102944142,0.14160451795259849,0.015215696099894994,0.157430704554118,0.13325262514645966,0.012647019309033227,0.13641858677645136
B_naive,0.06957358708391334,0.20242727668835472,0.031778961453411074,0.0928092381066525,0.08794642531217031,0.03443602295336691,0.10002585273311836,0.037512531722451566,0.07093167020869363,0.10846237688454594,0.018793692164413688,0.14530236468890784
B_plasma_IgA,0.0,0.0,0.0,0.0,0.0,0.34394999431933354,0.08729839246841495,0.5006332099656469,0.06811840324660481,0.0,0.0,0.0
B_plasma_IgG,0.008724411134219042,0.08776276780776207,0.0,0.0,0.005983598802131309,0.09550069625422411,0.19759584483139833,0.09358961012589455,0.5108430710443707,0.0,0.0,0.0
B_plasmablast,0.0,0.0009038202678198426,0.0,0.0,0.0017729249812157085,0.302322051445595,0.13832694930460016,0.06536594931182386,0.4436038708700825,0.04770443381886293,0.0,0.0
Basal,0.131722196629546,0.0017283081716704183,0.013996941177537369,0.0,0.8373777180465306,0.0,0.001744414582083974,0.002522729399267422,0.0,0.0,0.008895942985408228,0.0020117490079561385
CD4_EM_Effector,0.0477958935597587,0.19521060413355468,0.05489085939357486,0.12438370051900795,0.059209502568813424,0.032570787257523784,0.09127165779493006,0.03785313566705243,0.062140148954070745,0.1022908988520609,0.036368595898474916,0.15601421540117744
CD4_TRM,0.05823099456427808,0.17233788566390137,0.055842063967145646,0.11455016257658009,0.07219481304729447,0.0441291290081536,0.08524099746547467,0.050564646184130244,0.07913708397909407,0.08970946749777838,0.037128775805410935,0.14093398024075862
CD4_naive_CM,0.0056724603027089975,0.21198058678559129,0.012738718512244852,0.02571273487421039,0.006080806347709877,0.0,0.1386914657825894,0.0,0.39124215377218124,0.10480912779345831,0.01152244698519942,0.09154949884410638
CD8_EM,0.054475632594272454,0.19777848621546218,0.0448621972377045,0.12179782036258217,0.06642243650185663,0.03341484346955537,0.09420712712241747,0.03793872948456988,0.06033418958405363,0.1024319709917936,0.029241576496442906,0.1570949899392892
CD8_EM_EMRA,0.00680125080401069,0.2502412426264753,0.01821192269457876,0.13027357647190418,0.012028847223321202,0.023517927083209295,0.13192744488815122,0.023084077769100195,0.07489678664933462,0.13423720323824725,0.011777101059057266,0.1830026194926102
CD8_TRM_EM,0.05629704494214975,0.21614200320319468,0.027687100984148325,0.13607450829203438,0.06917778108955816,0.025743079052978474,0.10408587768388881,0.029149183125281815,0.029065548752883523,0.11236157062401479,0.01678248190154668,0.17743382034832064
CD8_TRM,0.10374636537263957,0.19361477391970955,0.032866502076453474,0.13486882576229708,0.12859925830140712,0.012643637713697798,0.08450817458495165,0.02102148722381654,0.005955644883936575,0.09585708156917389,0.019891965149002735,0.1664262834429139
Chondrocyte,0.047438392458343,0.12256915321419108,0.19072016249446574,0.06777581186585648,0.0,0.07449524887836564,0.0,0.26247094029623586,0.15085517505362492,0.006508420212802796,0.05190062762782974,0.02526606789828473
