,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
AT1,0.07362828444288662,0.0,0.7101929507843109,0.0,0.0,0.13867031988770548,0.0,0.0,0.0,0.0,0.07263789862314768,0.0,0.0,0.0007386126891879387,0.004131933572761294
AT2,0.684577903353585,0.0,0.17860072900828622,0.0,0.0,0.08934796171987924,0.00021152680827255438,0.0,0.0,0.0,0.037701172485647076,0.0,0.0,0.0,0.00956070662432987
B_memory,0.12200580150884349,0.014117627928006835,0.12502892361492618,0.009583984299357216,0.011522795646120363,0.22712179496766202,0.015434624739831712,0.12050898612629318,0.0068114674325915215,0.02187361868919354,0.05703169591790408,0.035191751869377993,0.07849078001241101,0.019563643877328042,0.1357125033701526
B_naive,0.09996352830652297,0.05856015153098492,0.13345107340994422,0.016371248122681755,0.03074031720593073,0.18587410653701522,0.0337495582112973,0.052898460101569525,0.016282947077008957,0.058066490902390605,0.08817165539752525,0.06128248307554593,0.0395793917777484,0.027959828907603252,0.09704875943623113
B_plasma_IgA,0.0,0.0,0.0,0.0,0.0,0.0,0.11133252956713414,0.0,0.8805465922984979,0.0,0.001499420442817854,0.0,0.0,0.00662145769155008,0.0
B_plasma_IgG,0.0,0.004229923168778006,0.0,0.0,0.0,0.08467732285071924,0.0,0.34569349273098654,0.3946318071297752,0.0033708671488615056,0.0,0.0,0.07537479341566382,0.0,0.09202179355521567
B_plasmablast,0.03896855807910107,0.0,0.0,0.0,0.11716295525090846,0.005751310096860938,0.0,0.2999389842482961,0.3603001046619951,0.0,0.0,0.0010930163709402519,0.10450987562517693,0.0,0.07227519566672108
Basal,0.0,0.0,0.00079936299190823,0.0039041769808994264,0.0037134523190646604,0.0002555830897995113,0.002052580543373945,0.0,0.0,0.11414956529070452,0.00028204102476074594,0.8725774328389713,0.0,0.002265804920517751,0.0
CD4_EM_Effector,0.09562782161783677,0.039717490311187015,0.14494830500477257,0.03338300713376021,0.02896588843725665,0.1813410265707119,0.03433146413365075,0.04691067292002184,0.016912400778962042,0.04052557588961736,0.11944043767856595,0.04231827350338069,0.03532171004737119,0.05032025320606895,0.0899356727668361
CD4_TRM,0.08291739541352862,0.049729181143074605,0.1295552149731573,0.03370614034716982,0.037442832462483915,0.15825469451386134,0.04416853566296361,0.06093184146085758,0.02543979301691994,0.048512602593570105,0.10849773401301893,0.04886525560738574,0.038717713126230575,0.05050789376730839,0.08275317189846956
CD4_naive_CM,0.08931715946320655,0.0,0.07960160210712817,0.005446661563874509,0.0,0.1812578237642539,0.0,0.27747141770851247,0.0,0.003563244423099139,0.018824280817589696,0.014900615172553498,0.19521253798908222,0.007851609011961459,0.12655304797873823
CD8_EM,0.09552654677141705,0.045630018915641134,0.14565242092446334,0.026599727278953673,0.02946734834930015,0.18335225724162368,0.03414127806099846,0.04521138304860216,0.017643728177296477,0.04599316998239363,0.11677053608827717,0.04603014060786221,0.03469163048847133,0.040822865766296956,0.09246694829840257
CD8_EM_EMRA,0.12736060919180792,0.004656425534600573,0.17245331425873767,0.010328940791671244,0.02012905248253146,0.23625183179057466,0.02068334880636492,0.0592714363430831,0.017435455399936427,0.006042618979690376,0.12772557709080606,0.01254401482856849,0.038006732326954645,0.01642598436229078,0.13068465781238178
CD8_TRM_EM,0.10595552824925927,0.050295853623819706,0.16608591085332464,0.0153135310133297,0.02306806300561071,0.20244512898943517,0.02674644468614707,0.020156133911870638,0.013253462201584921,0.04766165734718491,0.13250005306243973,0.04587257336355862,0.02209505149039449,0.02534057978696072,0.10321002841507952
CD8_TRM,0.08964288214277409,0.09835409927988399,0.15441890866179497,0.018318244331224056,0.011173165872436466,0.1797194069234213,0.019024276792017947,0.0013286208552686653,0.007717222326504528,0.08612984237240923,0.13025300301487708,0.07799978994964066,0.01231206698025276,0.03022883068373391,0.08337963981376025
Chondrocyte,0.006010763412236154,0.0,0.022318571676528818,0.049336501551336516,0.08069332976078304,0.11394308547544763,0.2574447291863299,0.15465332500630374,0.0,0.03982263863123015,0.06899220271953464,0.034392777637195046,0.0,0.1723920749430745,0.0
Ciliated,0.0,0.10253235876867875,0.00010128754940532681,0.0,0.005728259012328019,0.0,0.0,0.0018202379338616472,0.0,0.884071626457836,2.6266126927786728e-05,0.002189142289241488,0.001028677429059038,0.002502144432661997,0.0
