,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15
AT1,0.07755713323994658,0.004076493697091683,0.0,0.0,0.0,0.0,0.0,0.0,0.07345417864996419,0.1356101454541233,0.0007324045756385898,0.0,0.0,0.7085696443832357,0.0,0.0
AT2,0.04002789108842428,0.00954860679966651,0.0,0.0,0.0,0.0,0.0,3.1438647403862636e-06,0.6836568428138805,0.0881496447130899,0.0,0.0,0.0,0.17839974119030771,0.0,0.00021412952989086062
B_memory,0.057837308918494354,0.1330748939891767,0.00867157754024753,0.02144252577403614,0.006752113515271617,0.020943821163085186,0.034511075660039754,0.011365508129705444,0.11975074306412427,0.2220201314381269,0.01804668592917304,0.013701516967747525,0.07691501151383834,0.12298304064601695,0.11702602446660233,0.014958021284313896
B_naive,0.08764912543746577,0.09499638049575791,0.015041857614269261,0.05693694323282605,0.016056578668932557,0.02408258709107381,0.060118333504588665,0.03020378034039078,0.09805410177759291,0.18133667927502856,0.025969648698089532,0.05659952603366488,0.03759117231522583,0.13111396250244123,0.051419144718240405,0.03283017829441177
B_plasma_IgA,0.0014692957305865683,0.0,0.0,0.0,0.8808290101520264,0.0,0.0,0.0,0.0,0.0,0.006626016009086241,0.0,0.0,0.0,0.0,0.11107567810830087
B_plasma_IgG,0.0,0.09161316186301659,0.0,0.00341909355263567,0.3931221122150703,0.0,0.0,0.0,0.0,0.084650683979067,0.0,0.004105635354035155,0.0817645077256973,0.0,0.3413248053104779,0.0
B_plasmablast,0.0,0.07193936645229901,0.0,0.0,0.35842594946584544,0.0,0.0011916821608756215,0.11698501012022754,0.03856338589747352,0.005992313300047138,0.0,0.0,0.11233096866110408,0.0,0.2945713239421277,0.0
Basal,0.0,0.0,0.0034518988427946398,0.113417068738062,0.0,0.006307878125164659,0.8679126622895619,0.003689219926289591,0.0,0.0002802725253124385,0.002015177160517695,0.0,0.0,0.0009298774784535038,0.0,0.0019959449138436123
CD4_EM_Effector,0.1177218107626302,0.08773942547706404,0.03173046976845422,0.03959217890176089,0.016629901428016892,0.027582788911774406,0.04135055643859795,0.028367683052905324,0.09352299557327334,0.17622653128343574,0.047600250442171754,0.03832568912357586,0.03295637257354035,0.14186899414911272,0.045522746509241985,0.033261605604444223
CD4_TRM,0.10674024297394473,0.08072120762838511,0.03204238421957183,0.04741137716837945,0.024975521979607628,0.027727996140453855,0.047766667111149845,0.0366664096405675,0.08109516004458216,0.15380497317980543,0.047793938779262864,0.04795794760333853,0.036364344873608394,0.1268609269241334,0.059180772378495776,0.042890129354713306
CD4_naive_CM,0.02080973833944659,0.12494820947467228,0.005741676258100475,0.0035359584072221536,0.0,0.011361076357911221,0.014696763311418986,0.0,0.0881515570597278,0.1783388045936045,0.0077233788060612225,0.0,0.1959541827885041,0.07851975742873157,0.2702188971745992,0.0
CD8_EM,0.11551734438858899,0.09044415290580429,0.025202937108976378,0.04505431611935824,0.01738010584049726,0.02483300175852258,0.04510258678298141,0.028928542836303556,0.0936363286690979,0.17860285138469825,0.03857664245236608,0.04409682945751997,0.03263003327547445,0.1428644980471826,0.04393781857667472,0.0331920103959533
CD8_EM_EMRA,0.1283370739323203,0.12895914767430583,0.009748481395403333,0.0059431974865341445,0.017279792809821136,0.014056787217158369,0.012348018256296821,0.019915754648196837,0.1257601162140694,0.23189670545345625,0.015562124117457474,0.004586330390672609,0.03718131203820755,0.1701813353936812,0.057930873874567024,0.020312949097851727
