,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16
AT1,0.0,0.004107291358048434,0.0,0.0,0.0,0.0007365851281639148,0.0,0.0,0.0,0.7078078518836816,0.0,0.07773077542996414,0.135941039674359,0.0,0.07367645652578302,0.0,0.0
AT2,0.0,0.009537258341288681,0.0,0.0,0.0,0.0,0.0,0.0002138131148596061,7.301233470447403e-06,0.17791261468522998,0.0,0.039930183421050466,0.08822571849440654,0.0,0.6841731107096942,0.0,0.0
B_memory,0.0086256337872417,0.1328459854324752,0.021463428652761594,0.013888561607284274,0.02147890602624899,0.018075475943452882,0.03452118248675876,0.015066232041459059,0.011282113338067279,0.12274578991479036,0.11795490209118127,0.057912673028527276,0.22219807627768598,0.07548216568985443,0.1199151190136961,0.0065437546685148,0.0
B_naive,0.015013567143357956,0.09456400806452978,0.023513701805024944,0.057370285091029205,0.05670708537709414,0.025860125645745632,0.05982288324027279,0.03272422347486148,0.030042203018755695,0.13038568573635342,0.051357281391196476,0.08737501406352201,0.18083861866080983,0.03707799331574239,0.09785194691546394,0.015944414933300812,0.0035509621229395834
B_plasma_IgA,0.0,0.0,0.0,0.0,0.0,0.006530806398409436,0.0,0.11039231975627829,0.0,0.0,0.0,0.0014768184903388214,0.0,0.0,0.0,0.8790741580257919,0.0025258973291815484
B_plasma_IgG,0.0,0.09136977513373273,0.0,0.004026633969009565,0.003584251533440259,0.0,0.0,0.0,0.0,0.0,0.3459180543171764,0.0,0.08517378394683514,0.07654193570504354,0.0,0.39338556539476227,0.0
B_plasmablast,0.0,0.07149398697671565,0.0,0.0,0.0,0.0,0.0013660789476562965,0.0,0.11716784445925328,0.0,0.2996913669546662,0.0,0.006223457135225938,0.10670637149885608,0.038751626327297124,0.35859926770032946,0.0
Basal,0.0034747484260865265,0.0,0.005660509608380202,0.0,0.11329111782152196,0.0020069997955832,0.8660317346911107,0.001979618596589427,0.00362852549103905,0.0009275545735398056,0.0,0.0,0.000271254940863906,0.0,0.0,0.0,0.002727936055285264
CD4_EM_Effector,0.03169337826674322,0.0874159630944597,0.027042073493409993,0.038872917377363744,0.039475086413414635,0.04742630859225892,0.041191133289463513,0.03319397033819719,0.02823945569714517,0.14121174346652965,0.04558593626322707,0.11745399029979399,0.17589870271895552,0.032480510595605416,0.09341315448279193,0.01651740357166263,0.0028882720389775225
CD4_TRM,0.03204225941247531,0.08053433854368591,0.027635425199417373,0.0487083464181559,0.047371131900281,0.04772964941668777,0.047682615320876226,0.04290941703151647,0.03656179045154393,0.126510249542871,0.059636022282796616,0.10671224592758695,0.1538020571103936,0.03563477378026756,0.08114318209404923,0.024823635708607954,0.0005628598587872318
CD4_naive_CM,0.00552510476555445,0.1244508931388497,0.013742173123751634,0.0,0.0035722221431856,0.007720070687857418,0.01470601707525073,0.0,0.0,0.07835323525357007,0.272009374553022,0.020890331451334104,0.17837563246286714,0.19246064943917868,0.08819429590557844,0.0,0.0
CD8_EM,0.025178551656542054,0.0901427529624154,0.024426106655111295,0.04474660434795116,0.04493709654334949,0.03845575051822373,0.04494366532355183,0.03313857355013562,0.028808130014321635,0.14225901523249573,0.044064432709535306,0.11530221680899239,0.17834057422740235,0.03213983843357606,0.09356257082900357,0.01726786959796528,0.0022862505894271487
CD8_EM_EMRA,0.009699874147767415,0.12878025667219348,0.014620560210909924,0.004624584330012872,0.005965024723361731,0.015539780968635779,0.012363763924579142,0.02035591963888007,0.019853366896073855,0.1698341836105727,0.05849948477640041,0.12838162476188716,0.2320522022285559,0.036356078390547886,0.12592722925349295,0.017146065466128922,0.0
CD8_TRM_EM,0.01430971224801078,0.10113597087419167,0.018903505039910628,0.04951163765180696,0.04676477914014326,0.023738433942523264,0.04498501623568059,0.026052648817408847,0.022655387403661412,0.1627604474127384,0.019611967313684437,0.13168242577404152,0.19767188635147667,0.020377079749057034,0.104216742949062,0.01306459152472107,0.0025577675718815663
CD8_TRM,0.017210685486429053,0.08151018593638126,0.019550519249883606,0.09654011422367059,0.0843312251219049,0.028331061503621705,0.07634460185423299,0.018365578249960192,0.010956385353788041,0.1510027944974624,0.0009995392677445052,0.12881414545501332,0.17503721475564477,0.010817710282017128,0.08798505415467021,0.0076649747044127,0.0045382099031627855
Chondrocyte,0.01648058569193058,0.0,0.06951103515621966,0.0,0.015521017155963221,0.057348738076974055,0.013443567545585816,0.10191926923241912,0.03946104858185621,0.011035337011200944,0.018102005763124752,0.02109916904334308,0.05017303712690636,0.0023631283154681958,0.0042134166326067,0.0,0.5793286446664013
Ciliated,8.221577728780047e-05,0.0,0.000138531961775382,0.10245841845486876,0.8836905279034392,0.0025067793640550532,0.0021956895582056525,0.0,0.005705608580550186,8.639043212851216e-05,0.001776482459184196,4.962076394081802e-05,0.0,0.0010673995611888596,0.0,0.0,0.00024233518337558305
DC_1,0.0,0.22612645638267473,0.04936932812633642,0.019748742267823256,0.034623364518281304,0.0,0.05027417721718181,0.011735779206872212,0.04127358724286943,0.0838755444390929,0.059406200796650405,0.034105316162508344,0.188386589385848,0.09239410896787459,0.09725777815508481,0.011423027130901669,0.0
DC_2,0.0,0.22752691930515836,0.0035312551623004717,0.016068631637767082,0.07093895989945585,0.0,0.10304027307934928,0.0006321129242021887,0.013487416848506696,0.11294953969787809,0.015607424061014005,0.09727499532555105,0.18145469747429524,0.057369028852945786,0.09089639121238606,0.009222354519189973,0.0
DC_activated,0.0040630414599720525,0.17649370936262285,0.025195778481385822,0.04291476797711797,0.04474254843818896,0.009875943397560307,0.053635680857300395,0.004317934230733606,0.0025535384954544125,0.16081130343477087,0.00960133617869264,0.1002877023870896,0.2159899866733322,0.03360018474335547,0.11393841379449028,0.0,0.001978130087932792
DC_plasmacytoid,0.019628364066707777,0.0979265479201581,0.035767114199992116,0.06397192177504804,0.05856687403484139,0.0356580615361826,0.08092683167678218,0.03707470012947192,0.02949669812852703,0.11810964976991671,0.02628624881186649,0.09188553820912898,0.16125359409869014,0.03287878478583919,0.07921232088875357,0.026553132231213254,0.004803617736880465
Deuterosomal,0.0,0.0,0.006887511867088493,0.3613046666855384,0.5269315256229148,0.0,0.10487629582445823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividing_AT2,0.0040323724192792045,0.03936752567696054,0.01580114578574137,0.1308740364455528,0.018400154718684808,0.003522880085906837,0.21355025282455192,0.0012166605986326223,0.008902940268564181,0.25754638886284786,0.0,0.063991354958247,0.10541700132252307,0.0,0.12822867385946907,0.00914861217303865,0.0
Dividing_Basal,0.0,0.0,0.0,0.0,0.0,0.040723962746557874,0.7290373991977956,0.0,0.166624012195175,0.0,0.05906761161596337,0.0,0.0,0.0,0.004547014244508245,0.0,0.0
Endothelia_Lymphatic,0.047781650440103865,0.014189507575162595,0.058297208826429324,0.0,0.0,0.06131421884244204,0.0003851573356317986,0.0051382831864274755,0.0008247050856200786,0.025474753890865412,0.33514840976627497,0.050545163767218376,0.07808407430077129,0.2876330225782452,0.012278834587635122,0.022905009817172323,0.0
Endothelia_vascular_Cap_a,0.0025503677263851708,0.014652379582766821,0.0,0.0,0.00011224710478417511,0.005967535163733517,0.0,0.0016383856637707348,0.0013970494388876851,0.20010626988838676,0.00020339869920111336,0.550460938967916,0.16068451914022244,0.0,0.061804310016709996,0.00010507528409692922,0.00031752332313855503
Endothelia_vascular_Cap_g,0.0007506818274780829,0.0,0.0,0.0,0.0,0.0029370471644058495,0.0,0.002227432810433201,0.0016212200975175086,0.16108626008295626,0.001200057557878672,0.6285633969046507,0.15590332037323176,0.0021600752419012746,0.04140920155445964,0.0021413063850871765,0.0
Endothelia_vascular_arterial_pulmonary,0.13555767000720703,0.006447336362396135,0.2694204414227658,0.0,0.0,0.03650695707578959,0.00016831952752776138,0.007429979723969698,0.0,0.03856097357778944,0.0,0.33191673898657964,0.09239757628241604,0.05866113105920889,0.015673173646383744,0.0062517793060271045,0.0010079230219391367
Endothelia_vascular_arterial_systemic,0.2076259678255984,0.0,0.6829968604942596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07738300845780612,0.0,0.0319941632223359,0.0,0.0,0.0
Endothelia_vascular_venous_pulmonary,0.0723294892900403,0.012338085999536038,0.05126341041889249,0.0017829611918681086,0.0001390634056492243,0.06652655531919663,0.0005269150896961007,0.03463612944306973,0.017649593324700907,0.040832297489780144,0.13005584671680695,0.1823871980533969,0.07671845210383708,0.28767586405263074,0.016014318061829135,0.009123820039069721,0.0
Endothelia_vascular_venous_systemic,0.014355802984746152,0.0,0.008337941449763332,0.0,0.00033282167768307433,0.02534322021727585,0.0,0.02053985686477783,0.019659123557249813,1.111881277844643e-05,0.0,0.0081879654784227,0.0,0.8758142993350682,0.0,0.013831234380293043,0.013586615241941465
Erythrocyte,0.06867781787206861,0.15821049386709654,0.043104196811894716,0.010595652275060497,0.015787694002712002,0.01671527755030296,0.01211414194893484,0.0,0.0,0.20113808897236568,0.0,0.13327157090688208,0.2420458708040803,0.01159504550072907,0.08626333926129907,0.0,0.00048081022657376845
