,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17
AT1,0.13667203663553384,0.0,0.0007478122674417734,0.0,0.0,0.07704385572190206,0.0,0.0,0.7072331944490535,0.0,0.07378603190284963,0.0,0.0,0.0,0.0,0.0,0.0,0.004517069023218974
AT2,0.08895577092488749,0.0,0.0,0.0,0.00016971550546557963,0.038656979096892016,0.0,0.0,0.17731314177474555,0.0,0.6851793340800735,0.0,0.0,0.0,0.0,0.0,2.092203660168845e-05,0.00970413658133408
B_memory,0.20976942231245357,0.0,0.01712064197153482,0.008515101644066611,0.014981987992660721,0.05503397587637424,0.021143947256219618,0.053966966258908414,0.11583374668692561,0.014170566575322367,0.1136557073330737,0.03160821366809236,0.008963943531300268,0.020374909172700732,0.04763138128861354,0.13354695371669148,0.010925007931515213,0.12275752678354668
B_naive,0.17708874984981737,0.006244329117064933,0.02447423122929384,0.01619192598693536,0.03033970429950565,0.08439455122356292,0.022491300554639077,0.03133567656591435,0.12685651887447097,0.05619290825750797,0.09580332694197918,0.05822565492180652,0.01459735165430453,0.055122788331934014,0.03412070500371277,0.04641372785014196,0.02855518900558827,0.09155136033182039
B_plasma_IgA,0.0,0.0,0.0025462806244801253,0.877942547905676,0.09242121814609769,0.0008760256142222266,0.0004798313282387976,0.0,0.0,0.0,0.0,0.0019344105614612346,0.0,0.0006037374711984134,0.0,0.0,0.023195948348625366,0.0
B_plasma_IgG,0.06821510607228656,0.0,0.0019845709971108867,0.37924253158976706,0.0,0.0,0.0,0.0,0.0,0.00912724782306314,0.0,0.0,0.0,0.00521020616017222,0.0,0.4746485279972641,0.0,0.061571809360336016
B_plasmablast,0.002671163658327736,0.059616464914009105,0.0,0.29227814834315685,0.0,0.0,0.0,0.0016484695189649557,0.0,0.0,0.03361494212547565,0.0,0.0,0.0,0.0,0.4465782278336312,0.11870636543482019,0.04488621817161441
Basal,0.0006285100841096059,0.013932171568476042,0.002409855372020378,0.0,0.00018297953270917996,0.0,0.005331588747235246,0.0,0.0007195147583251985,0.0,0.0,0.8624905071542912,0.003298725629206814,0.11100614715362632,0.0,0.0,0.0,0.0
CD4_EM_Effector,0.17297572541446388,0.005445098891239118,0.04574948643042687,0.016542114118016343,0.03080774880414612,0.11403238424369475,0.025746215746051238,0.02845106507376341,0.13785523611695746,0.03818682647125793,0.09176317478220461,0.04017841909848558,0.03083963576674387,0.038426681415457,0.03323506105307838,0.037948070493033816,0.026666424055083147,0.0851506320258965
CD4_TRM,0.1496417320621594,0.007672117235756343,0.04554694096264244,0.02428332651200494,0.03987187559097134,0.10283234762251302,0.025842756548913458,0.029936765081047357,0.12237868266571254,0.047262895048868644,0.07893162290432076,0.045948556129025986,0.031012985855316085,0.04570561525868132,0.03958834375394099,0.05153218922005747,0.034506617916422885,0.07750462963164503
CD4_naive_CM,0.15393368216547015,0.0,0.009452105084819005,0.0,0.0,0.022648516882567932,0.01698141623900397,0.12260197111924348,0.06929081311883874,0.0,0.07744780004962838,0.01017978168093328,0.008191334666177255,0.004583093120152158,0.06742751606612142,0.3338998728144615,0.0,0.10336209699258272
CD8_EM,0.17520968894686084,0.005958865644899144,0.036981274522307116,0.017319555245450997,0.03089534936740444,0.11189350713288292,0.023313777821240916,0.0276522121408031,0.13878058773184293,0.043875900205304665,0.091844429407596,0.043800317650387284,0.02451817602199583,0.043751546064403825,0.030230913542412488,0.03890506029315397,0.02742131820054908,0.08764752006050455
CD8_EM_EMRA,0.22598804503510989,0.0,0.015033354186676432,0.017942313745554373,0.020108479467790246,0.12420424520877546,0.014519616589608871,0.026341616168275298,0.1645693599977889,0.00513409392674023,0.12274162542439128,0.011471272666246729,0.009832037736728982,0.005855969639972315,0.023699665362451758,0.06880568846119883,0.020086546715425143,0.12366606966726529
CD8_TRM_EM,0.1961763965365646,0.009405792828051124,0.023052132114539145,0.012285111901607115,0.02452527781611572,0.12882351370590495,0.018513428286356527,0.017989332623185226,0.16014822414388624,0.04815429807886485,0.10326367294006727,0.04430554599442433,0.01399918944802052,0.04595043981450141,0.013889632270420468,0.01865696051284503,0.021392346454752027,0.09946870452989333
CD8_TRM,0.17441639420631022,0.025005144888274038,0.027934384981694472,0.003228941135642446,0.01663110429566262,0.12630764179257672,0.019234543158953534,0.010837278431859112,0.14893657374464225,0.09203393696242358,0.08742512177236206,0.0755372208711757,0.016760302346027284,0.08314224894175049,0.004304549252204809,0.0,0.007534463407943326,0.08073014981049727
Chondrocyte,0.09050838314604105,0.0,0.10664954355060051,0.0,0.1804293468960025,0.03893468667663033,0.23000082739465375,0.0,0.021736364310880017,0.0,0.003987208606596138,0.028488742738845146,0.01888782086453558,0.029331990223532202,0.20792782016511027,0.0,0.043117265426572404,0.0
Ciliated,0.0,0.0,0.0023653923326710075,0.0018578440338527064,0.0,2.9078979594330208e-05,1.894737416898375e-05,0.0011406973416021877,9.462192807431677e-05,0.113252721032193,0.0,0.0,0.0,0.8694229821834039,0.002681890771853296,0.0,0.009135824022586343,0.0
DC_1,0.1810581961141102,0.0,0.0,0.015832306451777692,0.012522795302071413,0.03294680672515333,0.05098102142909673,0.07040272306846099,0.08004413787401352,0.021263460539861227,0.09378926370928373,0.04692420448500663,0.0,0.03303589192633831,0.0015270161686360949,0.1038122594976342,0.041942038791356995,0.21391787791719888
DC_2,0.17998124947815142,0.0,0.0,0.011029151801418127,0.0008922105432207339,0.09516883757864114,0.004644392925013358,0.04199439255750733,0.11081974957691565,0.017953941220718042,0.09015788871940815,0.10125058349915345,0.0,0.06933057174570925,0.0,0.04137439030305299,0.013284856209537522,0.22211778384155292
DC_activated,0.21534436023871972,0.002895695602354911,0.009650965445146984,0.0,0.004556112889029185,0.09820502737586777,0.025858776229332837,0.027294861405200214,0.1587940327437785,0.04268362281916401,0.11350174982696311,0.05317581529074717,0.00399182610358034,0.044299104944431344,0.0,0.023228299004935712,0.002676480885422839,0.17384326919532553
DC_plasmacytoid,0.1594729369951949,0.011864338044276796,0.03444622836716023,0.025575675038603012,0.034709327967345174,0.08937032052516883,0.0349714513095515,0.02953257748774446,0.11576782550403095,0.062345446172650136,0.07824399555540966,0.07955843735758128,0.019091614176776905,0.05728570501968208,0.020081256604817257,0.02398604258533783,0.027855554135925005,0.09584126715274394
