,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8
AT1,0.16874616081244004,0.7425362053149187,0.0,0.0,0.08871763387264123,0.0,0.0,0.0,0.0
AT2,0.7890727932679381,0.18510674237908367,0.0,0.0,0.025693316329722958,0.0,0.0001271480232552081,0.0,0.0
B_memory,0.19455277154652525,0.14144042674327784,0.02755123990228295,0.03076005576902095,0.32843566299406723,0.04314437596610238,0.024818497706633982,0.19411094886908603,0.015186020503003456
B_naive,0.15345492386531062,0.17759493153583478,0.03767135768457595,0.08421562001728151,0.2671570193344424,0.10512874946527298,0.06436793760038756,0.08759715609593366,0.022812304400960725
B_plasma_IgA,0.0,0.0,0.0,0.0,0.008263061986584047,0.0,0.8918369091573781,0.09990002885603788,0.0
B_plasma_IgG,0.0,0.0,0.0,0.011534787138339808,0.16267081758269653,0.007431144775588383,0.17491329454196544,0.6434499559614099,0.0
B_plasmablast,0.07810287070678287,0.0,0.0,0.0,0.016513021100128398,0.011268209160310688,0.3331792049667726,0.5609366940660053,0.0
Basal,0.0,0.0011906651395097226,0.014080828420738588,0.13578569126015766,0.002447378738572211,0.8374854021961688,0.0,0.0,0.009010034244852864
CD4_EM_Effector,0.14283050559160276,0.21174256950261322,0.06593281029734759,0.05824083306314462,0.2648223139479637,0.07114547751197257,0.06359644575096043,0.07722225821457702,0.04446678611981817
CD4_TRM,0.12462874353644482,0.19168541242100232,0.06661842318926282,0.07046743447392749,0.23439394328203814,0.08609408481371236,0.08423826862823441,0.09683442912784927,0.045039260527528345
CD4_naive_CM,0.1512362537468205,0.07450439582005741,0.01440253569567461,0.007017131397067584,0.27253474162193736,0.006863773955156017,0.0,0.460226062831474,0.013215104931812393
CD8_EM,0.14412005259514957,0.21116436918953643,0.0539547696462581,0.06648364332260459,0.2684819187374841,0.07999376419319205,0.0645472242556916,0.07532954676517764,0.035924711294905876
CD8_EM_EMRA,0.1977129932193092,0.2447363588183571,0.022509195689010053,0.008719396477186187,0.3523884642212297,0.015469604112937466,0.045241026036302236,0.09787780107115664,0.015345160354511105
CD8_TRM_EM,0.1605399700995577,0.24258280483832445,0.033789392432466966,0.0696846701757796,0.2980004436533325,0.08458187398716359,0.050951366400503705,0.038584121375642086,0.021285357037229242
CD8_TRM,0.13257392664967987,0.2274741157928339,0.03918329847928066,0.12468666735627444,0.2597050728051618,0.1522743330750026,0.03044333408811475,0.009184285722377289,0.024474966031274848
Chondrocyte,0.00897797578340008,0.050284794551276386,0.22023569094095857,0.05474916171462328,0.15327219753509816,0.0,0.28420665819492547,0.1666759721273527,0.061597549152365316
