,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
AT1,0.022930710523026445,0.6405343767164806,0.014795560624481662,0.1921021303975931,0.0,0.0814279203434959,0.0,0.0,0.004702900697201271,0.0,0.04350640069772101,0.0
AT2,0.018455221886231207,0.6342026127281795,0.04216618433099504,0.23893654866678596,0.0,0.0626024641601817,0.0,0.0,0.003636968227626488,0.0,0.0,0.0
B_memory,0.07008335107101671,0.10387573779307968,0.04564622672031251,0.19178229741932756,0.024579429837353315,0.09647635934991765,0.0,0.307761086328593,0.03880681535014687,0.03792746533851426,0.055214657157097294,0.02784657363464106
B_naive,0.15347013405270127,0.09092532509883978,0.07808783420479092,0.09409166795104926,0.09346337556809026,0.1449320079282027,0.0033628014305785167,0.1126242779940865,0.07535469296659617,0.05360122142818718,0.0632957498670182,0.03679091150985944
B_plasma_IgA,0.0017560495764016404,0.0004840991657413194,0.012125992905191538,0.0,0.0,0.002395764512787612,0.0,0.0,0.1035357318266174,0.8764023954311735,0.0032999665820870228,0.0
B_plasma_IgG,0.004653544012398742,0.0,0.0,0.0929520952253498,0.013293989603022967,0.0,0.0,0.4263449680910379,0.0,0.4627554030681906,0.0,0.0
B_plasmablast,0.0,0.0,0.14914968476237964,0.09809094326448117,0.0,0.0,0.08464707457576977,0.27721386262516146,0.0,0.39089843477220804,0.0,0.0
Basal,0.10798028312931124,0.006966146922471451,0.0,0.0,0.0,0.8554957258006944,0.01874965508544965,0.0,0.001332664371274811,0.0,0.005646471604767185,0.003829053086031217
CD4_EM_Effector,0.11647694567516466,0.10862895807357374,0.07598465721121939,0.09160560627309339,0.058510195607029414,0.10628416357860804,0.003447726672105082,0.10302443221538682,0.07994989835163559,0.05634558066472459,0.11932105268866817,0.08042078298879116
CD4_TRM,0.11854408111043728,0.0905393013584074,0.0837724986576142,0.08455263269831075,0.06766597782886964,0.10350606232016525,0.006977380352442846,0.11422065091662302,0.08901689561356993,0.06818504457132306,0.10295774259299671,0.07006173197924002
