,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15
AT1,0.1518422800695904,0.0,0.036962962022084836,0.0,0.0,0.023448882847588906,0.0,0.006632180461364769,0.011496872701148355,0.044303538867247874,0.19734692911312146,0.519962881793788,0.0078897554396224,0.0,0.0,0.00011371668444298247
AT2,0.13276863689355242,0.0,0.0,0.0,0.0,0.0440405573045846,0.0,0.024518043645254693,0.006976919755722203,0.04635847024320543,0.23364839702697474,0.5101456464209282,0.001543328709777666,0.0,0.0,0.0
B_memory,0.06021863143592166,0.06003417085183655,0.04660186067007112,0.02399255194457032,0.2588575904580033,0.15301311832808528,0.0,0.03447339014601237,0.05423457440071573,0.0,0.13510746662523623,0.08265961504954099,0.009852742828521593,0.026484064719934766,0.021732828717489182,0.03273739382406085
B_naive,0.09164432554872337,0.11291237876129252,0.055278058522630645,0.031549847590582214,0.07760187706452522,0.09018209684176928,0.0002644408437317482,0.06693609491938098,0.12610862922959595,0.0054299981350509055,0.07995835871853225,0.07247029110420461,0.0,0.04434104363835847,0.08276861342744132,0.06255394565418056
B_plasma_IgA,0.005123701033425259,0.0,0.002845418964064146,0.0,0.0,0.0,0.0,0.01863339734264657,0.0015779252653983164,0.001964830266247689,0.0,0.0005660099461723227,0.0,0.8754722097416039,0.0,0.09381650744044184
B_plasma_IgG,0.000559710930127128,0.002356959580666952,0.0,0.0,0.5079865118395303,0.02905203422707015,0.0,0.0,0.010215123888638017,0.0,0.007523028935464427,0.0,0.0,0.4363512845915156,0.005955346006987465,0.0
B_plasmablast,0.0,0.0,0.0,0.0,0.38135909435804854,0.0,0.07772270383041546,0.157320814765542,0.0,0.0,0.010734841234227544,0.0,0.014606907608160627,0.35825563820360595,0.0,0.0
Basal,0.7091152190681628,0.17855021655371764,0.00150676704877905,0.0009534039421852745,0.000615588020747547,0.0,0.0,0.0,0.029694857538810626,0.0,0.0,0.0,0.018779640443731184,0.0,0.06078430738386574,0.0
CD4_EM_Effector,0.0780674826123847,0.0768752218501336,0.10714832033358196,0.0714632822448701,0.0656205717905341,0.0931806358837247,0.0007890616222351487,0.06521423503176088,0.09743621489650786,0.005004968014867493,0.08158077496790658,0.08892890284772392,0.0,0.04773024436577401,0.05370826260929746,0.06725182092869744
CD4_TRM,0.07676476051731397,0.07507102444503085,0.09270039872709888,0.062380616298065794,0.08158169058065204,0.0904855846151914,0.00396796279604974,0.07328144977077808,0.09972261369125074,0.0004734588424910888,0.07206436978726968,0.0746186552109881,0.0,0.05863091700983582,0.061760700377144054,0.07649579733083976
CD4_naive_CM,0.028735016381125703,0.006660425018157333,0.02283382522293576,0.020488373409283896,0.5317388868572978,0.15265650237029635,0.0,0.0,0.007253162967136355,0.0,0.18190909835492627,0.047724709418840654,0.0,0.0,0.0,0.0
CD8_EM,0.08058513361871905,0.0873764055495846,0.08825608960561183,0.05753224391076534,0.06615058577866466,0.08849521075509265,0.0017967047713711387,0.06804217443637703,0.10922034510107244,0.004147686003301786,0.0794838223677783,0.08343037900799566,0.0,0.050213756876763736,0.06702489951665754,0.06824456270024437
CD8_EM_EMRA,0.055210061763947084,0.02048014647420129,0.061883386777353624,0.03951595309623005,0.1872524062539833,0.13526535376730808,0.0,0.08059534197774235,0.029773152403640896,0.0,0.11961669290909173,0.1111344549423795,0.004212952912242962,0.08011803933175445,0.005199198297832519,0.0697428590922922
CD8_TRM_EM,0.09480982763225977,0.11029440792410769,0.06832359046390202,0.04020343056389448,0.030242163862405125,0.06730301819545495,0.01026531004616711,0.06488711504461246,0.1388609879883304,0.007252193350903089,0.07199885605666635,0.0902421259357847,0.0,0.04564661905690252,0.09413545249195941,0.06553490138664989
CD8_TRM,0.13383228379844422,0.1482289406084604,0.06553274473947789,0.03825318512984464,0.0,0.02345612427817282,0.03376618034234235,0.02182005123902323,0.20482165697722035,0.009739722726498935,0.044051655813982044,0.07258302809819403,0.0,0.014812187471303357,0.15301057127556952,0.03609166750146607
Chondrocyte,0.04077674654227537,0.0,0.057090352892925515,0.014635468562096512,0.0,0.09245479769990743,0.0,0.02867551775226414,0.017861445727894453,0.5674730259492861,0.0,0.07842524132609074,0.0,0.0,0.0,0.10260740354725964
Ciliated,0.0,0.0007590053792805489,0.0027919955293641786,8.371410118803695e-05,0.0,0.004016152098671238,0.0,0.007574943334610612,0.8657414497772288,0.0,0.0009645965180153813,0.0008696607471152311,0.031051664884797464,0.002292029768337968,0.08363704588843006,0.00021774197296042647
DC_1,0.028001631498238266,0.07875689661174684,0.0,0.0,0.17873235849890529,0.06190299365251953,0.0,0.1271480672862902,0.050133082432427235,0.0,0.10619964252761478,0.16315109286061547,0.034518615156512236,0.047639650683713036,0.08827865060675373,0.0355373181846634
DC_2,0.11108326304409256,0.09269637358296952,0.0,0.0,0.08100731181313756,0.04476035642381118,0.0,0.06447289305132738,0.09784122808951447,0.0,0.06039427594981222,0.08506307476974888,0.03902087228299221,0.04463279223205682,0.2591309805264713,0.019896578234066032
DC_activated,0.10015284569688587,0.18462155521105644,0.04304236192706873,0.01776643439735386,0.0366071691867239,0.04622466728825618,0.0,0.01912019523473647,0.14399383902313004,0.006612486445464439,0.10589533069966059,0.14046364791393517,0.0,3.354224978794141e-05,0.13911406618515362,0.01635185854078675
DC_plasmacytoid,0.11418601738211764,0.12011225433039993,0.07140073850236127,0.038515042104084185,0.027974522488647444,0.06013425632948954,0.011048408041046561,0.05944026099807936,0.1137348201383663,0.006637094550178489,0.06386648050735973,0.08872408292206768,0.0,0.05901213839528161,0.09838402926851811,0.06682985404200226
Deuterosomal,0.0,0.20781540092368353,0.0,0.0,0.0,0.0,0.05235642901947993,0.0,0.6096377755497958,0.0,0.0,0.0,0.0,0.0,0.13019039450704067,0.0
Dividing_AT2,0.37084425031774415,0.10315572912504993,0.003914977968927033,0.006663890193232135,0.0,0.0,0.13168058064740995,0.0,0.024904861405514643,0.0004609473832051129,0.0,0.032164076144725356,0.16399868050390878,0.0,0.16221200631028299,0.0
Dividing_Basal,0.01308874975514704,0.03406858858504445,0.006501369731193996,0.0014129927884409192,0.0025558660630718103,0.002623291989194263,0.0,0.02021431050687855,0.000837890012002375,0.0,0.0007441284122410318,0.0005476239373674245,0.8983505277092013,0.003590342447098189,0.009083185776818256,0.0063811322863002356
Endothelia_Lymphatic,0.0023799730665832264,0.0,0.07209626844192327,0.057366878014188535,0.45058043428063277,0.060905178584961826,0.0,0.011730277528266157,0.0,0.0,0.2251961144535922,0.06505175592802101,0.00360643518664956,0.035042664486241146,0.0,0.01604402002894022
Endothelia_vascular_Cap_a,0.07410706429654366,0.0,0.09474898381442647,0.052589884627576994,0.0,0.01345996145965863,0.0,0.026813444276159285,0.010182218655883982,0.03824629532407547,0.20018820980453003,0.43455369311788444,0.0,0.01101715744957314,0.0,0.04409308717368786
Endothelia_vascular_Cap_g,0.0713770460956561,0.0,0.062491526809256126,0.03514122632501456,0.0,0.012255665383225351,0.0,0.03277907095248771,0.0060558349798942816,0.03797200097188104,0.2248878450101624,0.4365262521569604,0.0,0.026888395416859712,0.0,0.05362513589860241
