,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22
AT1,0.0037153892198929007,0.0,0.0055392208424851685,0.0,0.0,0.0,0.0,0.0,0.002421874468614619,0.02585524291277765,0.8957226616342956,0.011312269216271433,0.0,0.0,0.0,0.0,0.0,0.0,0.0031920830485034136,0.0,0.03440534910495281,0.007991349213527073,0.00984456033867938
AT2,0.0,0.0,0.007032958352383083,0.0010176415476738044,0.004467680401575342,0.005966033566120151,0.0,0.0,0.0006000729345105132,0.010737512044615798,0.9470660435262771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005978907658091526,0.0,0.0034580196195500663,0.012028560558271261,0.00702758668321361
B_memory,0.024602491998927938,0.0,0.03734186655120409,0.0,0.10625730172761744,0.016911496472238198,0.04665925697714751,0.12656419102046432,0.01719625900512658,0.0314437620967127,0.13950120526377974,0.03668478606232027,0.02988080291566391,0.17239255091848904,0.026926386463854073,0.0051203561401106405,0.0,0.0,0.037219331449017796,0.01629497859706437,0.03447986963112515,0.08728376710469339,0.0072393396044428395
B_naive,0.029538265773273665,0.000637208295830437,0.035660387226307565,0.0,0.06495764488759186,0.04858185833900589,0.07747072600579015,0.016381889539189995,0.014885655661297448,0.0620226377587216,0.11705275608154372,0.04416828931649683,0.11327396890586747,0.05994394782924282,0.04695040415649948,0.008284151352692023,0.0,0.034711687123603924,0.08177254812987511,0.06244857278073811,0.030438707471369574,0.050818693365062305,0.0
B_plasma_IgA,0.0,0.0,0.0009281466014524049,0.005216078906938124,0.0019523677891714005,0.02243976595549604,0.0,0.009762837429637856,0.0018799717163543387,0.0011200544272945716,0.0007502137848898693,0.0,0.0,0.0,0.0602073706624035,0.0,0.0,0.8955212108839385,0.00022198184242341908,0.0,0.0,0.0,0.0
B_plasma_IgG,0.0,0.0,0.0,0.0,0.028161966966899443,0.0,0.0,0.8279290277995429,0.024784053963390493,0.0014862256170512873,0.0032424872177582637,0.009643755031885266,0.0,0.054631998247567724,0.0,0.0036888893166422605,0.007181037308156615,0.03039616610756715,0.008854392423538674,0.0,0.0,0.0,0.0
B_plasmablast,0.0,0.0,0.0,0.02527999153079177,0.0,0.08972677766415511,0.0,0.7479938804639383,0.0,0.0,0.0,0.0,0.0,0.06002488303612369,0.016911552877109933,0.0,0.0,0.05103226382778297,0.0,0.0,0.0,0.0,0.009030650600098035
Basal,0.0015283191278362357,0.0,0.001175046974178188,0.0,0.0009226562446093268,0.0,0.10954805193404546,0.0,0.001309359704715811,0.7295224524385369,3.0086116552366455e-05,0.003030718536199742,0.04256356233642473,0.0,9.756715992620812e-05,0.0,4.656930591948634e-05,0.0,0.03430772514714294,0.04307793791396996,0.00045594938043405533,0.0009383638663520767,0.031445633813156626
CD4_EM_Effector,0.0498930691245597,0.03541575257990727,0.03144023253481403,0.0,0.06608483445108065,0.048465245322165465,0.052279167633368824,0.00014303350133847294,0.012670688342869515,0.05002243756137247,0.13213118080855923,0.08017071265368358,0.0892666692255639,0.05415632189408573,0.0496055409635219,0.019077198013853113,0.0,0.04149159077252069,0.06200467851491617,0.040503472051606815,0.034859435230691446,0.05031873881952143,0.0
CD4_TRM,0.043423230093331024,0.032774983583300436,0.030799205871159776,0.00032604108352534225,0.06587631442393779,0.05592376687712421,0.04991416012371558,0.01261055136704635,0.009692447080481411,0.05225394750682006,0.10589752059694409,0.07013535764793119,0.09617797627212815,0.06350907005979203,0.05757485434382254,0.01691545570398462,0.0,0.04798927204503168,0.06406116987765954,0.04697389369819028,0.031068902089368706,0.046101879654705184,0.0
CD4_naive_CM,0.02008677816899937,0.0,0.027280175679462462,0.0,0.09324718003668322,0.0,0.010422478887998113,0.15647014624245692,0.0,0.010210054831409807,0.08313091220651729,0.01992524108805639,0.0,0.4102246546783488,0.0,0.0036758616990643887,0.0,0.0,0.0050363269755659724,0.0,0.023040760959393114,0.13724942854604405,0.0
CD8_EM,0.04144337956876176,0.02488695167962639,0.03400108015988419,0.0,0.06225793888571625,0.049546382748114424,0.05775042236298354,0.009095160711619714,0.0114117677873707,0.05162836786739216,0.13030751256995968,0.06589953468996064,0.10724150558649168,0.051643290637255715,0.0502872321306201,0.015151651401241278,0.0,0.04052395789325467,0.0675175409342234,0.049858071764669394,0.031594339518900304,0.047953911101954,0.0
CD8_EM_EMRA,0.03138727148772049,0.013319371882224144,0.031083634112625984,0.0,0.08885188120120448,0.05432821865982035,0.01904103950730081,0.08602058183581733,0.00737301534984313,0.022146737176500852,0.22693712768993637,0.04446378892194348,0.01823347842779481,0.12600567472955504,0.05149492109888118,0.009624422568181206,0.0,0.04639659861807124,0.01817257430545454,0.005368194056866664,0.031919875897918795,0.0652617241295978,0.0025698683427413343
CD8_TRM_EM,0.030203536183773055,0.013957995037038987,0.03444793396206409,0.004237295779188813,0.044072653962286844,0.0464464444798935,0.07109041085711333,0.0,0.010307710687030663,0.06000503163073348,0.15983521289310554,0.05022154501883157,0.13083696828224947,0.027329881124013813,0.04741620639379328,0.012022225903860859,0.0,0.03780795966240766,0.08424645573003656,0.06889077278611404,0.028812525257004225,0.03781123436946036,0.0
